dimension,t,z
3.0,0.0,0.0
3.0,1.393,0.11
3.0,4.276,0.45
3.0,6.935,1.01
3.0,8.864,1.8
3.0,10.174,2.81
3.0,11.062,4.04
3.0,11.677,5.5
3.0,12.114,7.18
3.0,12.432,9.09
3.0,12.671,11.22
3.0,12.854,13.58
3.0,12.996,16.16
3.0001,13.109,18.97
3.0003,13.2,22.0
3.0007,13.274,25.25
3.0013,13.336,28.73
3.0022,13.387,32.44
3.0034,13.431,36.36
3.0048,13.468,40.52
3.0066,13.499,44.89
3.0087,13.527,49.49
3.011,13.551,54.32
3.0136,13.571,59.37
3.0163,13.59,64.65
3.0191,13.606,70.15
3.022,13.62,75.87
3.0249,13.633,81.82
3.0279,13.645,87.99
3.0309,13.655,94.39
3.0338,13.665,101.01
3.0367,13.673,107.86
3.0395,13.681,114.93
3.0423,13.688,122.22
3.045,13.694,129.74
3.0476,13.7,137.49
3.0501,13.706,145.45
3.0525,13.711,153.65
3.0549,13.715,162.07
3.0571,13.72,170.71
3.0593,13.724,179.57
3.0614,13.727,188.66
3.0634,13.731,197.98
3.0653,13.734,207.52
3.0671,13.737,217.28
3.0688,13.74,227.27
3.0705,13.742,237.49
3.0721,13.745,247.92
3.0737,13.747,258.59
3.0751,13.749,269.47
3.0766,13.751,280.58
3.0779,13.753,291.92
3.0792,13.755,303.48
3.0804,13.756,315.26
3.0816,13.758,327.27
3.0828,13.759,339.51
3.0839,13.761,351.96
3.0849,13.762,364.65
3.0859,13.764,377.55
3.0869,13.765,390.68
3.0878,13.766,404.04
3.0887,13.767,417.62
3.0896,13.768,431.43
3.0904,13.769,445.45
3.0912,13.77,459.71
3.0919,13.771,474.19
3.0927,13.772,488.89
3.0934,13.773,503.82
3.094,13.773,518.97
3.0947,13.774,534.34
3.0953,13.775,549.94
3.0959,13.776,565.77
3.0965,13.776,581.82
3.0971,13.777,598.09
3.0976,13.778,614.59
3.0981,13.778,631.31
3.0986,13.779,648.26
3.0991,13.779,665.43
3.0996,13.78,682.83
3.1,13.78,700.45
3.1005,13.781,718.29
3.1009,13.781,736.36
3.1013,13.782,754.66
3.1017,13.782,773.18
3.1021,13.783,791.92
3.1025,13.783,810.89
3.1028,13.783,830.08
3.1032,13.784,849.49
3.1035,13.784,869.14
3.1039,13.784,889.0
3.1042,13.785,909.09
3.1045,13.785,929.41
3.1048,13.785,949.94
3.1051,13.786,970.71
3.1054,13.786,991.69
3.1056,13.786,1012.91
3.1059,13.787,1034.34
3.1062,13.787,1056.0
3.1064,13.787,1077.89
3.1067,13.787,1100.0
