T,d,phase
0.1,1.0,1D-like
0.202,1.0,1D-like
0.304,1.0,1D-like
0.406,1.0,1D-like
0.508,1.0,1D-like
0.61,1.0,1D-like
0.712,1.0,1D-like
0.814,1.0,1D-like
0.916,1.0,1D-like
1.018,1.0,1D-like
1.12,1.0,1D-like
1.222,1.0,1D-like
1.324,1.0,1D-like
1.427,1.0,1D-like
1.529,1.0,1D-like
1.631,1.0,1D-like
1.733,1.0,1D-like
1.835,1.0,1D-like
1.937,1.0,1D-like
2.039,1.0,1D-like
2.141,1.0,1D-like
2.243,1.0,1D-like
2.345,1.0,1D-like
2.447,1.0,1D-like
2.549,1.0,1D-like
2.651,1.0,1D-like
2.753,1.0,1D-like
2.855,1.0,1D-like
2.957,1.0,1D-like
3.059,1.0,1D-like
3.161,1.0,1D-like
3.263,1.0,1D-like
3.365,1.0,1D-like
3.467,1.0,1D-like
3.569,1.0,1D-like
3.671,1.0,1D-like
3.773,1.0,1D-like
3.876,1.0,1D-like
3.978,1.0,1D-like
4.08,1.0,1D-like
4.182,1.0,1D-like
4.284,1.0,1D-like
4.386,1.0,1D-like
4.488,1.0,1D-like
4.59,1.0,1D-like
4.692,1.0,1D-like
4.794,1.0,1D-like
4.896,1.0,1D-like
4.998,1.0,1D-like
5.1,1.0,1D-like
0.1,1.071,1D-like
0.202,1.071,1D-like
0.304,1.071,1D-like
0.406,1.071,1D-like
0.508,1.071,1D-like
0.61,1.071,1D-like
0.712,1.071,1D-like
0.814,1.071,1D-like
0.916,1.071,1D-like
1.018,1.071,1D-like
1.12,1.071,1D-like
1.222,1.071,1D-like
1.324,1.071,1D-like
1.427,1.071,1D-like
1.529,1.071,1D-like
1.631,1.071,1D-like
1.733,1.071,1D-like
1.835,1.071,1D-like
1.937,1.071,1D-like
2.039,1.071,1D-like
2.141,1.071,1D-like
2.243,1.071,1D-like
2.345,1.071,1D-like
2.447,1.071,1D-like
2.549,1.071,1D-like
2.651,1.071,1D-like
2.753,1.071,1D-like
2.855,1.071,1D-like
2.957,1.071,1D-like
3.059,1.071,1D-like
3.161,1.071,1D-like
3.263,1.071,1D-like
3.365,1.071,1D-like
3.467,1.071,1D-like
3.569,1.071,1D-like
3.671,1.071,1D-like
3.773,1.071,1D-like
3.876,1.071,1D-like
3.978,1.071,1D-like
4.08,1.071,1D-like
4.182,1.071,1D-like
4.284,1.071,1D-like
4.386,1.071,1D-like
4.488,1.071,1D-like
4.59,1.071,1D-like
4.692,1.071,1D-like
4.794,1.071,1D-like
4.896,1.071,1D-like
4.998,1.071,1D-like
5.1,1.071,1D-like
0.1,1.143,1D-like
0.202,1.143,1D-like
0.304,1.143,1D-like
0.406,1.143,1D-like
0.508,1.143,1D-like
0.61,1.143,1D-like
0.712,1.143,1D-like
0.814,1.143,1D-like
0.916,1.143,1D-like
